|details|name|viable|germ_code|mod1|mod2|mod3|mod4|special_info
2343|Sow @ 20C. Seed germinates within 3 months At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis integrifolia \'Olgae\'||A|9||||
2344|Sow @ 20C. Seed germinates within 3 months|Clematis integrifolia \'Pamiat Serdtsa\'||A|||||
2345|Sow @ 20C. Seed germinates within 3 months At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis integrifolia \'Pangbourne Pink\'||A|9||||
2346|Sow @ 20C. Seed germinates within 3 months At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis integrifolia \'Purpurea\'||A|9||||
2347|Sow @ 20C. Seed germinates within 3 months At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis integrifolia \'Rosea\'||A|9||||
2348|Sow @ 20C. Seed germinates within 3 months At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis integrifolia \'Swedish Bells\'||A|9||||
2349|Sow @ 20C. Seed germinates within 3 months At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis integrifolia \'Twinkle\'||A|9||||
2350|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis intricata||L|9||||
2351|Sow @ 4C for 3 weeks, then place at 20C. Germination is improved by using GA3. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.   * hard to germinate|Clematis ispahanica||J|4|9|||*
2352|Sow at 4C for 3 months, then place @ 20C for 3 months. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis jackmanii||G|9||||
2353|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis Jan Fopma\'||L|9||||
2354|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis japonica||L|9||||
2355|Sow @ 4C for 3 weeks, then place at 20C.|Clematis koreana||J|||||
2356|Sow @ 4C for 3 weeks, then place at 20C.|Clematis Koreana \'Fragrans\'||J|||||
2357|Sow @ 20C. Seed germinates within 3 months Requires darkness.|Clematis ladakhiana||A|2||||
2358|Sow @ 20C. Seed germinates within 3 months|Clematis lasiandra||A|||||
2359|Sow at 4C for 3 months, then place @ 20C for 3 months.|Clematis lasiantha||G|||||
2360|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis Liberation\'||L|9||||
2361|Use repeated cycles of 4C, then 20C for 3 months each. Germination is very prolonged. Requires soaking. Place in warm water until seeds swell, usually 24-48 hours. Discard water and any seeds that remain floating. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis ligusticifolia||H|7|9|||
2362|Sow at 20C for 6 weeks, then place @ 4C for 6 weeks, then slowly raise temperature to 10C for 6 weeks. If there is no germination, repeat the cycle. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis Little Nell\'||E|9||||
2363|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis Lunar Lass\'||L|9||||
2364|Sow @ 20C. Seed germinates within 3 months At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis macropetala||A|9||||
2365|Sow @ 20C. Seed germinates within 3 months At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis macropetala \'Alba\'||A|9||||
2366|Sow @ 20C. Seed germinates within 3 months At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis macropetala \'Blue Bird\'||A|9||||
2367|Sow @ 20C. Seed germinates within 3 months At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis macropetala \'Lagoon\'||A|9||||
2368|Sow @ 20C. Seed germinates within 3 months At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis macropetala \'Maidwell Hall\'||A|9||||
2369|Sow @ 20C. Seed germinates within 3 months At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis macropetala \'Markham\'s Pink\'||A|9||||
2370|Sow at 20C for 6 weeks, then place @ 4C for 6 weeks, then slowly raise temperature to 10C for 6 weeks. If there is no germination, repeat the cycle. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis Madame Julia Correvon\'||E|9||||
2371|Sow at 20C for 6 weeks, then place @ 4C for 6 weeks, then slowly raise temperature to 10C for 6 weeks. If there is no germination, repeat the cycle. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis mandschurica||E|9||||
2372|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis Margot Koster\'||L|9||||
2373|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis Miss Bateman\'||L|9||||
2374|Sow @ 20C. Seed germinates within 3 months|Clematis montana||A|||||
2375|Sow @ 20C. Seed germinates within 3 months|Clematis montana var. montana||A|||||
2376|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis Moonlight\'||L|9||||
2377|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring.|Clematis morefieldii||L|||||
2378|* seed viability < 1 year|Clematis most species|||||||*
2379|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis Mrs Harvey\'||L|9||||
2380|Sow @ 4C for 3 weeks, then place at 20C.|Clematis Mrs Robert Brydon\'||J|||||
2381|Sow at 4C. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis napaulensis||F|9||||
2382|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis Nelly Moser\'||L|9||||
2383|Use repeated cycles of 20C, then 4C for 3 months each. Germination is very prolonged. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis occidentalis||D|9||||
2384|Sow @ 20C for 3 months, then place @ 4C for 3 months. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis occidentalis \'Big Horns\'||C|9||||
2385|Sow @ 4C for 3 weeks, then place at 20C. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis ochotensis||J|9||||
2386|Sow @ 4C for 3 weeks, then place at 20C. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis ochotensis x alpina||J|9||||
2387|Sow @ 4C for 3 weeks, then place at 20C.|Clematis ochroleuca||J|||||
2388|Sow @ 20C. Seed germinates within 3 months Requires light or the seed is very fine. Surface sow and expose to light. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis orientalis||A|3|9|||
2389|Sow @ 20C. If seed does not germinate within 3 months, try 4C for 1-2 months, then 20C again. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis orientalis \'Annemieke\'||B|9||||
2390|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis Pagoda\'||L|9||||
2391|Sow @ 20C for 3 months, then place @ 4C for 3 months.|Clematis paniculata||C|||||
2392|Try L.  We have no information on this species. We sometimes provide an informed guess about which approach you should try. Let us know what is successful.|Clematis patens x \'Nara\'||?|||||
2393|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis Paul Farges\'||L|9||||
2394|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis Perle d\'Azur\'||L|9||||
2395|Try A.  We have no information on this species. We sometimes provide an informed guess about which approach you should try. Let us know what is successful. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis Petit Faucon\'||?|9||||
2396|Sow @ 20C for 3 months, then place @ 4C for 3 months. Germination is improved by using GA3. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis pitcheri||C|4|9|||
2397|Sow at 20C for 6 weeks, then place @ 4C for 6 weeks, then slowly raise temperature to 10C for 6 weeks. If there is no germination, repeat the cycle. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis Polish Spirit\'||E|9||||
2398|Sow @ 4C for 3 weeks, then place at 20C. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis potaninii||J|9||||
2399|Sow @ 4C for 3 weeks, then place at 20C. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis potaninii var. fargesii||J|9||||
2400|Sow at 4C. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis Prairie Traveller\'s Joy\'||F|9||||
2401|Try E.  We have no information on this species. We sometimes provide an informed guess about which approach you should try. Let us know what is successful.|Clematis Prince Charles\'||?|||||
2402|Sow at 20C for 6 weeks, then place @ 4C for 6 weeks, then slowly raise temperature to 10C for 6 weeks. If there is no germination, repeat the cycle. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.    * sow in acidic soil; seedling will die back quickly, but keep pot as it will recover|Clematis Princess Diana\'||E|9||||*
2403|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis Princess Kate\'||L|9||||
2404|Use repeated cycles of 4C, then 20C for 3 months each. Germination is very prolonged.|Clematis Princess Red\'||H|||||
2405|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis Proteus\'||L|9||||
2406|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis Radar Love\'||L|9||||
2407|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis Ramona\'||L|9||||
2408|Sow immediately, Either the viability of these seeds is short or the species propagates best with fresh seed. Stored seed might be coaxed into germination with temperature cycling and patience.   Sow @ 20C. Seed germinates within 3 months Requires darkness.    * dry storage for > 6 months is fatal|Clematis recta|!|A|2||||*
2409|Sow immediately, Either the viability of these seeds is short or the species propagates best with fresh seed. Stored seed might be coaxed into germination with temperature cycling and patience.   Sow @ 20C. Seed germinates within 3 months Requires darkness.    * dry storage for > 6 months is fatal|Clematis recta \'Purpurea\'|!|A|2||||*
2410|Sow immediately, Either the viability of these seeds is short or the species propagates best with fresh seed. Stored seed might be coaxed into germination with temperature cycling and patience.   Sow @ 20C. Seed germinates within 3 months Requires darkness.    * dry storage for > 6 months is fatal|Clematis recta \'Serious Black\'|!|A|2||||*
2411|Sow @ 20C for 3 months, then place @ 4C for 3 months. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis rehderiana||C|9||||
2412|Sow @ 20C. Seed germinates within 3 months|Clematis repens||A|||||
2413|?  We have no information on this species. We sometimes provide an informed guess about which approach you should try. Let us know what is successful. We have no information on this species. We sometimes provide an informed guess about which approach you should try. Let us know what is successful.|Clematis reticulata||?|||||
2414|Sow @ 20C. Seed germinates within 3 months At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis Roguchi\'||A|9||||
2415|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis Rooguchi\'||L|9||||
2416|Sow at 4C. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis Rosy O\'Grady\'||F|9||||
2417|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis Rouge Cardinal\'||L|9||||
2418|Use repeated cycles of 20C, then 4C for 3 months each. Germination is very prolonged. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis Ruby\'||D|9||||
2419|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring.|Clematis scottii||L|||||
2420|Sow immediately, Either the viability of these seeds is short or the species propagates best with fresh seed. Stored seed might be coaxed into germination with temperature cycling and patience.   Sow @ 4C for 3 weeks, then place at 20C. Requires soaking. Place in warm water until seeds swell, usually 24-48 hours. Discard water and any seeds that remain floating. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.   * remove as much of outer seed coat as possible|Clematis serratifolia|!|J|7|9|||*
2421|Sow immediately, Either the viability of these seeds is short or the species propagates best with fresh seed. Stored seed might be coaxed into germination with temperature cycling and patience.   Sow @ 4C for 3 weeks, then place at 20C. Requires soaking. Place in warm water until seeds swell, usually 24-48 hours. Discard water and any seeds that remain floating. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.   * remove as much of outer seed coat as possible|Clematis serratifolia \'Kugotia\'|!|J|7|9|||*
2422|Sow at 4C for 3 months, then place @ 20C for 3 months.|Clematis sibirica||G|||||
2423|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring.|Clematis songarica||L|||||
2424|Sow @ 20C. Seed germinates within 3 months At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis Sonnette\'||A|9||||
2425|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring.|Clematis sp.||L|||||
2426|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring.|Clematis sp.||L|||||
2427|Sow immediately, Either the viability of these seeds is short or the species propagates best with fresh seed. Stored seed might be coaxed into germination with temperature cycling and patience.   Sow @ 20C. Seed germinates within 3 months At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis speciosa|!|A|9||||
2428|Sow at 4C for 3 months, then place @ 20C for 3 months. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis stans||G|9||||
2429|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis Summer Snow\'||L|9||||
2430|Sow @ 20C. Seed germinates within 3 months At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis Swedish Bells\'||A|9||||
2431|Sow @ 20C for 3 months, then place @ 4C for 3 months. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.    * fresh seed germinates in 1 week @ 20C|Clematis Sweet Summer Love\'||C|9||||*
2432|Sow @ 20C. If seed does not germinate within 3 months, try 4C for 1-2 months, then 20C again. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis tangutica||B|9||||
2433|Sow @ 20C. If seed does not germinate within 3 months, try 4C for 1-2 months, then 20C again. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis tangutica \'Radar Love\'||B|9||||
2434|Sow @ 20C. Seed germinates within 3 months Requires light or the seed is very fine. Surface sow and expose to light.|Clematis tenuiloba||A|3||||
2435|Sow @ 20C. Seed germinates within 3 months At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis terniflora||A|9||||
2436|Sow at 20C for 6 weeks, then place @ 4C for 6 weeks, then slowly raise temperature to 10C for 6 weeks. If there is no germination, repeat the cycle. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis terniflora v. manshurica||E|9||||
2437|Sow at 20C for 6 weeks, then place @ 4C for 6 weeks, then slowly raise temperature to 10C for 6 weeks. If there is no germination, repeat the cycle. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis terniflora var. mandshurica||E|9||||
2438|Sow at 20C for 6 weeks, then place @ 4C for 6 weeks, then slowly raise temperature to 10C for 6 weeks. If there is no germination, repeat the cycle. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.    * sow in acidic soil; seedling will die back quickly, but keep pot as it will recover|Clematis texensis||E|9||||*
2439|Sow at 20C for 6 weeks, then place @ 4C for 6 weeks, then slowly raise temperature to 10C for 6 weeks. If there is no germination, repeat the cycle. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.    * sow in acidic soil; seedling will die back quickly, but keep pot as it will recover|Clematis texensis \'Etoile Rose\'||E|9||||*
2440|Sow at 20C for 6 weeks, then place @ 4C for 6 weeks, then slowly raise temperature to 10C for 6 weeks. If there is no germination, repeat the cycle. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.    * sow in acidic soil; seedling will die back quickly, but keep pot as it will recover|Clematis texensis \'Gravetye Beauty\'||E|9||||*
2441|Sow at 20C for 6 weeks, then place @ 4C for 6 weeks, then slowly raise temperature to 10C for 6 weeks. If there is no germination, repeat the cycle. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.    * sow in acidic soil; seedling will die back quickly, but keep pot as it will recover|Clematis texensis \'Maxima\'||E|9||||*
2442|Sow at 20C for 6 weeks, then place @ 4C for 6 weeks, then slowly raise temperature to 10C for 6 weeks. If there is no germination, repeat the cycle. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.    * sow in acidic soil; seedling will die back quickly, but keep pot as it will recover|Clematis texensis \'Queen Maxima\'||E|9||||*
2443|Sow at 20C for 6 weeks, then place @ 4C for 6 weeks, then slowly raise temperature to 10C for 6 weeks. If there is no germination, repeat the cycle. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.    * sow in acidic soil; seedling will die back quickly, but keep pot as it will recover|Clematis texensis \'Radiance\'||E|9||||*
2444|Sow @ 4C for 3 weeks, then place at 20C. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis texensis \'Wellmax\'||J|9||||
2445|Sow at 20C for 6 weeks, then place @ 4C for 6 weeks, then slowly raise temperature to 10C for 6 weeks. If there is no germination, repeat the cycle. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.    * sow in acidic soil; seedling will die back quickly, but keep pot as it will recover|Clematis texensis \'Wyevale\'||E|9||||*
2446|Try E.  We have no information on this species. We sometimes provide an informed guess about which approach you should try. Let us know what is successful. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.    * sow in acidic soil; seedling will die back quickly, but keep pot as it will recover|Clematis texensis x pitcherii||?|9||||*
2447|Expose to fluctuation outdoor winter temperatures including freezing for 3 months. Gradually increase light and temperature in the spring. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis The President\'||L|9||||
2448|Sow @ 4C for 3 weeks, then place at 20C. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis tibetana||J|9||||
2449|Sow @ 4C for 3 weeks, then place at 20C. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis tibetana subsp. vernayi \'Orange Peel\'||J|9||||
2450|Sow @ 4C for 3 weeks, then place at 20C. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis tibetana var. vernayi||J|9||||
2451|Sow @ 20C. Seed germinates within 3 months At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis Titipu\'||A|9||||
2452|Sow @ 4C for 3 weeks, then place at 20C. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis tubulosa \'Wyevale\'||J|9||||
2453|? We have no information on this species. We sometimes provide an informed guess about which approach you should try. Let us know what is successful. We have no information on this species. We sometimes provide an informed guess about which approach you should try. Let us know what is successful.|Clematis urophylla||?|||||
2454|Sow @ 20C for 3 months, then place @ 4C for 3 months. At one time, we advised &quot;Tails may inhibit germination. Remove them.&quot; The advice applied primarily to pulsatillas and clematises. Our most recent data indicates that leaving the tails on has no effect on germination.|Clematis veitchiana||C|9||||
