"varname","tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"UNKNOWN","270","h","Attention position","Attention position","0","0","0","","2","","","","","-1","SPF","","","","9999","0"
"UNKNOWN","270","i","Type of address","Type of address","0","0","0","","2","","","","","-1","SPF","","","","9999","0"
"UNKNOWN","270","j","Specialized telephone number","Specialized telephone number","1","0","0","","2","","","","","-1","SPF","","","","9999","0"
"UNKNOWN","270","k","Telephone number","Telephone number","1","0","0","","2","","","","","-1","SPF","","","","9999","0"
"UNKNOWN","270","l","Fax number","Fax number","1","0","0","","2","","","","","-1","SPF","","","","9999","0"
"UNKNOWN","270","m","Electronic mail address","Electronic mail address","1","0","0","","2","","","","","-1","SPF","","","","9999","0"
"UNKNOWN","270","n","TDD or TTY number","TDD or TTY number","1","0","0","","2","","","","","-1","SPF","","","","9999","0"
"UNKNOWN","270","p","Contact person","Contact person","1","0","0","","2","","","","","-1","SPF","","","","9999","0"
"UNKNOWN","270","q","Title of contact person","Title of contact person","1","0","0","","2","","","","","-1","SPF","","","","9999","0"
"UNKNOWN","270","r","Hours","Hours","1","0","0","","2","","","","","-1","SPF","","","","9999","0"
"kew.2.local","270","z","Public note","Public note","1","0","0","","2","","","","","-1","SPF","","","","9999","0"
"UNKNOWN","300","3","Materials specified","Materials specified","0","0","0","","1","","","","0","-6","SPF","","","","9999","0"
"UNKNOWN","300","6","Linkage","Linkage","0","0","0","","-1","","","","0","-6","SPF","","","","9999","1"
"UNKNOWN","300","7","Data provenance","Data provenance","1","0","0","","-1","","","","0","-6","SPF","","","","9999","2"
"UNKNOWN","300","8","Field link and sequence number","Field link and sequence number","1","0","0","","-1","","","","0","-6","SPF","","","","9999","3"
"UNKNOWN","300","a","Amount","Amount","1","0","0","biblioitems.pages","0","","","","0","0","SPF","","","","9999","4"
"UNKNOWN","300","b","Other physical details","Other physical details","0","0","0","biblioitems.illus","0","","","","0","0","SPF","","","","9999","5"
"UNKNOWN","300","c","Dimensions","Dimensions","1","0","0","biblioitems.size","0","","","","0","0","SPF","","","","9999","6"
"UNKNOWN","300","d","Accompanying material [OBSOLETE, CAN/MARC]","Accompanying material [OBSOLETE, CAN/MARC]","0","0","0","","-1","","","","0","-6","SPF","","","","9999","7"
"UNKNOWN","300","e","Accompanying material","Accompanying material","0","0","0","","-1","","","","0","0","SPF","","","","9999","8"
"UNKNOWN","300","f","Type of unit","Type of unit","1","0","0","","-1","","","","0","0","SPF","","","","9999","9"
"UNKNOWN","300","g","Size of unit","Size of unit","1","0","0","","-1","","","","0","0","SPF","","","","9999","10"
"UNKNOWN","300","k","Speed [Videodiscs, pre-AACR2 records only] [OBSOLETE, CAN/MARC]","Speed [Videodiscs, pre-AACR2 records only] [OBSOLETE, CAN/MARC]","0","0","0","","-1","","","","0","-6","SPF","","","","9999","11"
"UNKNOWN","300","m","Identification/manufacturer number [pre-AACR2 records only] [OBSOLETE, CAN/MARC]","Identification/manufacturer number [pre-AACR2 records only] [OBSOLETE, CAN/MARC]","0","0","0","","-1","","","","0","-6","SPF","","","","9999","12"
"UNKNOWN","300","n","Matrix and/or take number [Sound recordings, pre-AACR2 records only] [OBSOLETE, CAN/MARC]","Matrix and/or take number [Sound recordings, pre-AACR2 records only] [OBSOLETE, CAN/MARC]","0","0","0","","-1","","","","0","-6","SPF","","","","9999","13"
"UNKNOWN","301","a","Extent of item","Extent of item","0","0","0","","-1","","","","0","-6","SPF","","","","9999","0"
"UNKNOWN","301","b","Sound characteristics","Sound characteristics","0","0","0","","-1","","","","0","-6","SPF","","","","9999","1"
"UNKNOWN","301","c","Color characteristics","Color characteristics","0","0","0","","-1","","","","0","-6","SPF","","","","9999","2"
"UNKNOWN","301","d","Dimensions","Dimensions","0","0","0","","-1","","","","0","-6","SPF","","","","9999","3"
"UNKNOWN","301","e","Sound characteristics","Sound characteristics","0","0","0","","-1","","","","0","-6","SPF","","","","9999","4"
"UNKNOWN","301","f","Speed","Speed","0","0","0","","-1","","","","0","-6","SPF","","","","9999","5"
"UNKNOWN","302","a","Page count","Page count","0","0","0","","-1","","","","0","-6","SPF","","","","9999","0"
"UNKNOWN","303","a","Unit count","Unit count","0","0","0","","-1","","","","0","-6","SPF","","","","9999","0"
"UNKNOWN","304","a","Linear footage","Linear footage","0","0","0","","-1","","","","0","-6","SPF","","","","9999","0"
"UNKNOWN","305","6","Linkage","Linkage","0","0","0","","-1","","","","0","-6","SPF","","","","9999","0"
"UNKNOWN","305","a","Extent","Extent","0","0","0","","-1","","","","0","-6","SPF","","","","9999","1"
"UNKNOWN","305","b","Other physical details","Other physical details","0","0","0","","-1","","","","0","-6","SPF","","","","9999","2"
"UNKNOWN","305","c","Dimensions","Dimensions","0","0","0","","-1","","","","0","-6","SPF","","","","9999","3"
"UNKNOWN","305","d","Microgroove or standard","Microgroove or standard","0","0","0","","-1","","","","0","-6","SPF","","","","9999","4"
"UNKNOWN","305","e","Stereophonic, monaural","Stereophonic, monaural","0","0","0","","-1","","","","0","-6","SPF","","","","9999","5"
"UNKNOWN","305","f","Number of tracks","Number of tracks","0","0","0","","-1","","","","0","-6","SPF","","","","9999","6"
"UNKNOWN","305","m","Serial identification","Serial identification","0","0","0","","-1","","","","0","-6","SPF","","","","9999","7"
"UNKNOWN","305","n","Matrix and/or take number","Matrix and/or take number","0","0","0","","-1","","","","0","-6","SPF","","","","9999","8"
"UNKNOWN","306","6","Linkage","Linkage","0","0","0","","-1","","","","0","-6","SPF","","","","9999","0"
"UNKNOWN","306","8","Field link and sequence number","Field link and sequence number","1","0","0","","-1","","","","0","-6","SPF","","","","9999","1"
"UNKNOWN","306","a","Playing time","Playing time","1","0","0","","-1","","","","0","0","SPF","","","","9999","2"
"UNKNOWN","307","6","Linkage","Linkage","0","0","0","","-1","","","","0","-6","SPF","","","","9999","0"
"UNKNOWN","307","8","Field link and sequence number","Field link and sequence number","1","0","0","","-1","","","","0","-6","SPF","","","","9999","1"
"UNKNOWN","307","a","Hours","Hours","0","0","0","","-1","","","","0","-6","SPF","","","","9999","2"
"UNKNOWN","307","b","Additional information","Additional information","0","0","0","","-1","","","","0","-6","SPF","","","","9999","3"
"UNKNOWN","308","6","Linkage","Linkage","0","0","0","","-1","","","","0","-6","SPF","","","","9999","0"
"UNKNOWN","308","8","Field link and sequence number","Field link and sequence number","1","0","0","","-1","","","","0","-6","SPF","","","","9999","1"
"UNKNOWN","308","a","Number of reels","Number of reels","0","0","0","","-1","","","","0","-6","SPF","","","","9999","2"
"UNKNOWN","308","b","Footage","Footage","0","0","0","","-1","","","","0","-6","SPF","","","","9999","3"
"UNKNOWN","308","c","Sound characteristics","Sound characteristics","0","0","0","","-1","","","","0","-6","SPF","","","","9999","4"
"UNKNOWN","308","d","Color characteristics","Color characteristics","0","0","0","","-1","","","","0","-6","SPF","","","","9999","5"
"UNKNOWN","308","e","Width","Width","0","0","0","","-1","","","","0","-6","SPF","","","","9999","6"
"UNKNOWN","308","f","Presentation format","Presentation format","0","0","0","","-1","","","","0","-6","SPF","","","","9999","7"
"UNKNOWN","310","0","Authority record control number or standard number","Authority record control number or standard number","0","0","0","","-1","","","","0","-6","SPF","","","","9999","0"
"UNKNOWN","310","1","Real World Object URI","Real World Object URI","1","0","0","","-1","","","","0","-6","SPF","","","","9999","1"
"UNKNOWN","310","2","Source","Source","0","0","0","","-1","","","","0","-6","SPF","","","","9999","2"
"UNKNOWN","310","6","Linkage","Linkage","0","0","0","","-1","","","","0","-6","SPF","","","","9999","3"
"UNKNOWN","310","8","Field link and sequence number","Field link and sequence number","1","0","0","","-1","","","","0","-6","SPF","","","","9999","4"
"UNKNOWN","310","a","Current publication frequency","Current publication frequency","0","0","0","","-1","","","","0","-1","SPF","","","","9999","5"
"UNKNOWN","310","b","Date of current publication frequency","Date of current publication frequency","0","0","0","","-1","","","","0","-6","SPF","","","","9999","6"
"UNKNOWN","315","6","Linkage","Linkage","0","0","0","","-1","","","","0","-6","SPF","","","","9999","0"
"UNKNOWN","315","a","Frequency","Frequency","1","0","0","","-1","","","","0","-6","SPF","","","","9999","1"
"UNKNOWN","315","b","Dates of frequency","Dates of frequency","1","0","0","","-1","","","","0","-6","SPF","","","","9999","2"
"UNKNOWN","321","0","Authority record control number or standard number","Authority record control number or standard number","0","0","0","","-1","","","","0","-6","SPF","","","","9999","0"
"UNKNOWN","321","1","Real World Object URI","Real World Object URI","1","0","0","","-1","","","","0","-6","SPF","","","","9999","1"
"UNKNOWN","321","2","Source","Source","0","0","0","","-1","","","","0","-6","SPF","","","","9999","2"
"UNKNOWN","321","6","Linkage","Linkage","0","0","0","","-1","","","","0","-6","SPF","","","","9999","3"
"UNKNOWN","321","8","Field link and sequence number","Field link and sequence number","1","0","0","","-1","","","","0","-6","SPF","","","","9999","4"
"UNKNOWN","321","a","Former publication frequency","Former publication frequency","0","0","0","","-1","","","","0","-6","SPF","","","","9999","5"
"UNKNOWN","321","b","Dates of former publication frequency","Dates of former publication frequency","0","0","0","","-1","","","","0","-6","SPF","","","","9999","6"
"UNKNOWN","334","0","Authority record control number or standard number","Authority record control number or standard number","1","0","0","","-1","","","","0","-6","SPF","","","","9999","0"
"UNKNOWN","334","1","Real World Object URI","Real World Object URI","1","0","0","","-1","","","","0","-6","SPF","","","","9999","1"
"UNKNOWN","334","2","Source","Source","0","0","0","","-1","","","","0","-6","SPF","","","","9999","2"
"UNKNOWN","334","6","Linkage","Linkage","0","0","0","","-1","","","","0","-6","SPF","","","","9999","3"
"UNKNOWN","334","8","Field link and sequence number","Field link and sequence number","1","0","0","","-1","","","","0","-6","SPF","","","","9999","4"
"UNKNOWN","334","a","Mode of issuance term","Mode of issuance term","0","0","0","","-1","","","","0","-6","SPF","","","","9999","5"
"UNKNOWN","334","b","Mode of issuance code","Mode of issuance code","0","0","0","","-1","","","","0","-6","SPF","","","","9999","6"
"UNKNOWN","335","0","Authority record control number or standard number","Authority record control number or standard number","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","335","1","Real World Object URI","Real World Object URI","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","335","2","Source","Source","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","335","3","Materials specified","Materials specified","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","335","6","Linkage","Linkage","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","335","7","Data provenance","Data provenance","1","0","0","","3","","","","0","-6","SPF","","","","9999","0"
"UNKNOWN","335","8","Field link and sequence number","Field link and sequence number","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","335","a","Extension plan term","Extension plan term","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","335","b","Extension plan code","Extension plan code","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","336","0","Authority record control number or standard number","Authority record control number or standard number","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","336","1","Real World Object URI","Real World Object URI","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","336","2","Source","Source","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","336","3","Materials specified","Materials specified","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","336","6","Linkage","Linkage","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","336","7","Data provenance","Data provenance","1","0","0","","3","","","","0","-6","SPF","","","","9999","0"
"UNKNOWN","336","8","Field link and sequence number","Field link and sequence number","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","336","a","Content type term","Content type term","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","336","b","Content type code","Content type code","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","337","0","Authority record control number or standard number","Authority record control number or standard number","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","337","1","Real World Object URI","Real World Object URI","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","337","2","Source","Source","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","337","3","Materials specified","Materials specified","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","337","6","Linkage","Linkage","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","337","8","Field link and sequence number","Field link and sequence number","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","337","a","Media type term","Media type term","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","337","b","Media type code","Media type code","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","338","0","Authority record control number or standard number","Authority record control number or standard number","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","338","1","Real World Object URI","Real World Object URI","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","338","2","Source","Source","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","338","3","Materials specified","Materials specified","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","338","6","Linkage","Linkage","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","338","8","Field link and sequence number","Field link and sequence number","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","338","a","Carrier type term","Carrier type term","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","338","b","Carrier type code","Carrier type code","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","340","0","Authority record control number or standard number","Authority record control number or standard number","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","340","1","Real World Object URI","Real World Object URI","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","340","2","Source","Source","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","340","3","Materials specified","Materials specified","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","340","6","Linkage","Linkage","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","340","7","Data provenance","Data provenance","1","0","0","","3","","","","0","-6","SPF","","","","9999","0"
"UNKNOWN","340","8","Field link and sequence number","Field link and sequence number","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","340","a","Material base and configuration","Material base and configuration","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","340","b","Dimensions","Dimensions","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","340","c","Materials applied to surface","Materials applied to surface","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","340","d","Information recording technique","Information recording technique","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","340","e","Support","Support","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","340","f","Reduction ratio value","Reduction ratio value","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","340","g","Color content","Color content","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","340","h","Location within medium","Location within medium","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","340","i","Technical specifications of medium","Technical specifications of medium","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","340","j","Generation","Generation","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","340","k","Layout","Layout","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","340","l","Binding","Binding","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","340","m","Book format","Book format","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","340","n","Font size","Font size","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","340","o","Polarity","Polarity","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","340","p","Illustrative content","Illustrative content","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","340","q","Reduction ratio designator","Reduction ratio designator","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","341","0","Authority record control number or standard number","Authority record control number or standard number","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","341","1","Real World Object URI","Real World Object URI","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","341","2","Source","Source","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","341","3","Materials specified","Materials specified","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","341","6","Linkage","Linkage","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","341","8","Field link and sequence number","Field link and sequence number","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","341","a","Content access mode","Content access mode","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","341","b","Textual assistive features","Textual assistive features","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","341","c","Visual assistive features","Visual assistive features","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","341","d","Auditory assistive features","Auditory assistive features","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","341","e","Tactile assistive features","Tactile assistive features","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
# FIXME: WGS84 long resolution example: 342	05$aWorld Geodetic System 1984 (WGS-84)$c0.0000001$d0.0000001$bDegrees, Minutes, and Decimal seconds$qWorld Geodetic System 1984 (WGS-84)$r6378137.0$s298.257223563
"UNKNOWN","342","2","Reference method used","Reference method used","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","342","6","Linkage","Linkage","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","342","8","Field link and sequence number","Field link and sequence number","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","342","a","Name","Name","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","342","b","Coordinate units or distance units","Coordinate units or distance units","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","342","c","Latitude resolution","Latitude resolution","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","342","d","Longitude resolution","Longitude resolution","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","342","e","Standard parallel or oblique line latitude","Standard parallel or oblique line latitude","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","342","f","Oblique line longitude","Oblique line longitude","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","342","g","Longitude of central meridian or projection center","Longitude of central meridian or projection center","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","342","h","Latitude of projection center or projection origin","Latitude of projection center or projection origin","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","342","i","False easting","False easting","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","342","j","False northing","False northing","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","342","k","Scale factor","Scale factor","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","342","l","Height of perspective point above surface","Height of perspective point above surface","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","342","m","Azimuthal angle","Azimuthal angle","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","342","n","Azimuth measure point longitude or straight vertical longitude from pole","Azimuth measure point longitude or straight vertical longitude from pole","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","342","o","Landsat number and path number","Landsat number and path number","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","342","p","Zone identifier","Zone identifier","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","342","q","Ellipsoid name","Ellipsoid name","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","342","r","Semi-major axis","Semi-major axis","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","342","s","Denominator of flattening ratio","Denominator of flattening ratio","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","342","t","Vertical resolution","Vertical resolution","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","342","u","Vertical encoding method","Vertical encoding method","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","342","v","Local planar, local, or other projection or grid description","Local planar, local, or other projection or grid description","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","342","w","Local planar or local georeference information","Local planar or local georeference information","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","343","6","Linkage","Linkage","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","343","8","Field link and sequence number","Field link and sequence number","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","343","a","Planar coordinate encoding method","Planar coordinate encoding method","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","343","b","Planar distance units","Planar distance units","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","343","c","Abscissa resolution","Abscissa resolution","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","343","d","Ordinate resolution","Ordinate resolution","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","343","e","Distance resolution","Distance resolution","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","343","f","Bearing resolution","Bearing resolution","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","343","g","Bearing units","Bearing units","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","343","h","Bearing reference direction","Bearing reference direction","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","343","i","Bearing reference meridian","Bearing reference meridian","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","344","0","Authority record control number or standard number","Authority record control number or standard number","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","344","1","Real World Object URI","Real World Object URI","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","344","2","Source","Source","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","344","3","Materials specified","Materials specified","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","344","6","Linkage","Linkage","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","344","8","Field link and sequence number","Field link and sequence number","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","344","a","Type of recording","Type of recording","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","344","b","Recording medium","Recording medium","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","344","c","Playing speed","Playing speed","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","344","d","Groove characteristic","Groove characteristic","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","344","e","Track configuration","Track configuration","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","344","f","Tape configuration","Tape configuration","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","344","g","Configuration of playback channels","Configuration of playback channels","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","344","h","Special playback characteristics","Special playback characteristics","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","344","i","Sound content","Sound content","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","344","j","Original capture and storage technique","Original capture and storage technique","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","345","0","Authority record control number or standard number","Authority record control number or standard number","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","345","1","Real World Object URI","Real World Object URI","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","345","2","Source","Source","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","345","3","Materials specified","Materials specified","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","345","6","Linkage","Linkage","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","345","8","Field link and sequence number","Field link and sequence number","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","345","a","Presentation format","Presentation format","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","345","b","Projection speed","Projection speed","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","345","c","Aspect ratio value","Aspect ratio value","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","345","d","Aspect ratio designator","Aspect ratio designator","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","346","0","Authority record control number or standard number","Authority record control number or standard number","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","346","1","Real World Object URI","Real World Object URI","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","346","2","Source","Source","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","346","3","Materials specified","Materials specified","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","346","6","Linkage","Linkage","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","346","8","Field link and sequence number","Field link and sequence number","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","346","a","Video format","Video format","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","346","b","Broadcast standard","Broadcast standard","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","347","0","Authority record control number or standard number","Authority record control number or standard number","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","347","1","Real World Object URI","Real World Object URI","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","347","2","Source","Source","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","347","3","Materials specified","Materials specified","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","347","6","Linkage","Linkage","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","347","8","Field link and sequence number","Field link and sequence number","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","347","a","File type","File type","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","347","b","Encoding format","Encoding format","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","347","c","File size","File size","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","347","d","Resolution","Resolution","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","347","e","Regional encoding","Regional encoding","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","347","f","Encoded bitrate","Encoded bitrate","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","348","0","Authority record control number or standard number","Authority record control number or standard number","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","348","1","Real World Object URI","Real World Object URI","1","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","348","2","Source of term","Source of term","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
"UNKNOWN","348","3","Materials specified","Materials specified","0","0","0","","3","","","","","-6","SPF","","","","9999","0"
