"varname","tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"UNKNOWN","050","LIBRARY OF CONGRESS CALL NUMBER","LIBRARY OF CONGRESS CALL NUMBER","1","0","0","","","","SPF"
"UNKNOWN","051","LIBRARY OF CONGRESS COPY, ISSUE, OFFPRINT STATEMENT","LIBRARY OF CONGRESS COPY, ISSUE, OFFPRINT STATEMENT","1","0","0","","","","SPF"
"UNKNOWN","052","GEOGRAPHIC CLASSIFICATION","GEOGRAPHIC CLASSIFICATION","1","0","0","","","","SPF"
"UNKNOWN","055","CLASSIFICATION NUMBERS ASSIGNED IN CANADA","CLASSIFICATION NUMBERS ASSIGNED IN CANADA","1","0","0","","","","SPF"
"UNKNOWN","060","NATIONAL LIBRARY OF MEDICINE CALL NUMBER","NATIONAL LIBRARY OF MEDICINE CALL NUMBER","1","0","0","","","","SPF"
"UNKNOWN","061","NATIONAL LIBRARY OF MEDICINE COPY STATEMENT","NATIONAL LIBRARY OF MEDICINE COPY STATEMENT","1","0","0","","","","SPF"
"UNKNOWN","066","CHARACTER SETS PRESENT","CHARACTER SETS PRESENT","0","0","0","","","","SPF"
"UNKNOWN","070","NATIONAL AGRICULTURAL LIBRARY CALL NUMBER","NATIONAL AGRICULTURAL LIBRARY CALL NUMBER","1","0","0","","","","SPF"
"UNKNOWN","071","NATIONAL AGRICULTURAL LIBRARY COPY STATEMENT","NATIONAL AGRICULTURAL LIBRARY COPY STATEMENT","1","0","0","","","","SPF"
"UNKNOWN","072","SUBJECT CATEGORY CODE","SUBJECT CATEGORY CODE","1","0","0","","","","SPF"
"UNKNOWN","074","GPO ITEM NUMBER","GPO ITEM NUMBER","1","0","0","","","","SPF"
"UNKNOWN","080","UNIVERSAL DECIMAL CLASSIFICATION NUMBER","UNIVERSAL DECIMAL CLASSIFICATION NUMBER","1","0","0","","","","SPF"
"UNKNOWN","082","DEWEY DECIMAL CLASSIFICATION NUMBER","DEWEY DECIMAL CLASSIFICATION NUMBER","1","0","0","","","","SPF"
"UNKNOWN","083","ADDITIONAL DEWEY DECIMAL CLASSIFICATION NUMBER","ADDITIONAL DEWEY DECIMAL CLASSIFICATION NUMBER","1","0","0","","","","SPF"
"UNKNOWN","084","OTHER CLASSIFICATION NUMBER","OTHER CLASSIFICATION NUMBER","1","0","0","","","","SPF"
"UNKNOWN","085","SYNTHESIZED CLASSIFICATION NUMBER COMPONENTS","SYNTHESIZED CLASSIFICATION NUMBER COMPONENTS","1","0","0","","","","SPF"
"UNKNOWN","086","GOVERNMENT DOCUMENT CLASSIFICATION NUMBER","GOVERNMENT DOCUMENT CLASSIFICATION NUMBER","1","0","0","","","","SPF"
"UNKNOWN","087","REPORT NUMBER [OBSOLETE, CAN/MARC]","REPORT NUMBER [OBSOLETE, CAN/MARC]","1","0","0","","","","SPF"
"UNKNOWN","088","REPORT NUMBER","REPORT NUMBER","1","0","0","","","","SPF"
